"Title";"Author";"Playlist";"url";"file";"length"
prayer3;Bon Jovi;None;https://www.youtube.com/watch?v=lDK9QqIzhwk;./audios/prayer3.mp4;249
Rooftop;47ter;rap;https://www.youtube.com/watch?v=C5iIRUkHc5k;./audios/Rooftop.mp4;149
L'adresse;47ter;rap;https://www.youtube.com/watch?v=W4a6VOTCb84;./audios/L'adresse.mp4;255
